INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING,VOX
1,T,21031,52315,39.951359N,116.340796E,107,77,0,
2,T,21031,52317,39.951311N,116.340991E,108,52,0,
3,T,21031,52318,39.951320N,116.340983E,109,57,0,
4,T,21031,52319,39.951305N,116.341005E,109,65,0,
5,T,21031,52323,39.951299N,116.341021E,118,39,0,
6,T,21031,52324,39.951294N,116.341023E,121,0,0,
7,T,21031,52325,39.951288N,116.341023E,124,45,0,
8,T,21031,52326,39.951281N,116.341021E,127,38,0,
9,T,21031,52327,39.951275N,116.341023E,130,43,0,
10,T,21031,52328,39.951266N,116.341021E,133,43,0,
11,T,21031,52329,39.951260N,116.341023E,136,40,0,
12,T,21031,52330,39.951251N,116.341023E,139,41,0,
13,T,21031,52331,39.951243N,116.341025E,142,0,0,
14,T,21031,52332,39.951236N,116.341025E,145,0,0,
15,T,21031,52333,39.951228N,116.341025E,148,0,0,
16,T,21031,52334,39.951221N,116.341025E,150,0,0,
17,T,21031,52335,39.951215N,116.341026E,153,0,0,
18,T,21031,52336,39.951208N,116.341028E,155,0,0,
19,T,21031,52337,39.951201N,116.341030E,158,0,0,
20,T,21031,52338,39.951196N,116.341031E,160,0,0,
21,T,21031,52339,39.951193N,116.341033E,161,0,0,
22,T,21031,52340,39.951188N,116.341034E,162,0,0,
23,T,21031,52341,39.951185N,116.341038E,163,0,0,
24,T,21031,52342,39.951183N,116.341040E,163,0,0,
25,T,21031,52343,39.951179N,116.341041E,163,0,0,
26,T,21031,52344,39.951178N,116.341043E,165,0,0,
27,T,21031,52345,39.951176N,116.341046E,165,0,0,
28,T,21031,52346,39.951176N,116.341048E,166,37,0,
29,T,21031,52347,39.951178N,116.341048E,167,38,0,
30,T,21031,52348,39.951178N,116.341050E,168,37,0,
31,T,21031,52349,39.951179N,116.341050E,169,38,0,
32,T,21031,52350,39.951181N,116.341050E,170,0,0,
33,T,21031,52351,39.951183N,116.341050E,171,0,0,
34,T,21031,52352,39.951183N,116.341054E,173,0,0,
35,T,21031,52353,39.951183N,116.341059E,175,0,0,
36,T,21031,52354,39.951185N,116.341066E,176,0,0,
37,T,21031,52355,39.951186N,116.341074E,177,36,0,
38,T,21031,52356,39.951188N,116.341083E,178,39,0,
39,T,21031,52357,39.951189N,116.341091E,178,36,0,
40,T,21031,52358,39.951193N,116.341098E,179,0,0,
41,T,21031,52359,39.951194N,116.341103E,179,0,0,
42,T,21031,52400,39.951198N,116.341108E,179,0,0,
43,T,21031,52401,39.951201N,116.341113E,180,0,0,
44,T,21031,52402,39.951206N,116.341116E,181,0,0,
45,T,21031,52403,39.951209N,116.341121E,183,0,0,
46,T,21031,52404,39.951213N,116.341195E,184,39,0,
47,T,21031,52405,39.951221N,116.341311E,186,40,0,
48,T,21031,52406,39.951230N,116.341433E,187,37,0,
49,T,21031,52407,39.951239N,116.341526E,187,37,0,
50,T,21031,52408,39.951249N,116.341608E,187,37,0,
51,T,21031,52409,39.951260N,116.341705E,188,0,0,
52,T,21031,52410,39.951268N,116.341791E,189,0,0,
53,T,21031,52411,39.951276N,116.341886E,189,0,0,
54,T,21031,52412,39.951288N,116.341963E,189,41,0,
55,T,21031,52413,39.951350N,116.342251E,189,50,0,
56,T,21031,52414,39.951368N,116.342234E,189,54,0,
57,T,21031,52415,39.951369N,116.342234E,190,39,0,
58,T,21031,52420,39.951423N,116.342275E,191,0,0,
59,T,21031,52421,39.951428N,116.342285E,191,0,0,
60,T,21031,52423,39.951438N,116.342289E,191,0,0,
61,T,21031,52425,39.951463N,116.342279E,192,0,0,
62,T,21031,52426,39.951463N,116.342279E,192,0,0,
63,T,21031,52427,39.951464N,116.342278E,193,0,0,
64,T,21031,52428,39.951466N,116.342278E,193,0,0,
65,T,21031,52429,39.951470N,116.342276E,193,0,0,
66,T,21031,52430,39.951473N,116.342275E,193,0,0,
67,T,21031,52431,39.951476N,116.342273E,194,0,0,
68,C,21031,52433,39.951486N,116.342270E,195,0,0,
69,T,21031,52434,39.951491N,116.342268E,195,0,0,
70,T,21031,52435,39.951496N,116.342264E,195,0,0,
71,T,21031,52436,39.951501N,116.342261E,196,0,0,
72,T,21031,52437,39.951504N,116.342258E,196,0,0,
73,T,21031,52438,39.951509N,116.342253E,196,0,0,
74,T,21031,52439,39.951513N,116.342248E,196,0,0,
75,T,21031,52440,39.951513N,116.342248E,196,0,0,
76,T,21031,52441,39.951513N,116.342246E,196,0,0,
77,T,21031,52442,39.951518N,116.342241E,196,0,0,
78,T,21031,52443,39.951523N,116.342234E,196,0,0,
79,T,21031,52444,39.951528N,116.342228E,196,36,0,
80,T,21031,52445,39.951535N,116.342221E,197,41,0,
81,T,21031,52446,39.951650N,116.342154E,197,81,0,
82,T,21031,52448,39.951710N,116.342128E,197,0,0,
83,T,21031,52449,39.951749N,116.342116E,198,133,339,
84,T,21031,52450,39.951794N,116.342101E,198,154,341,
85,T,21031,52453,39.951946N,116.342041E,200,217,337,
86,T,21031,52454,39.952015N,116.342025E,201,262,338,
87,T,21031,52501,39.952546N,116.341903E,201,0,338,
88,T,21031,52507,39.952973N,116.341824E,202,3,338,
89,T,21031,52508,39.953036N,116.341808E,202,257,338,
90,T,21031,52511,39.953236N,116.341773E,203,0,338,
91,T,21031,52512,39.953546N,116.341993E,203,264,338,
92,T,21031,52513,39.953663N,116.342063E,200,225,338,
93,T,21031,52514,39.953896N,116.342396E,195,161,345,
94,T,21031,52515,39.954056N,116.342628E,190,115,345,
95,T,21031,52516,39.954148N,116.342768E,185,75,345,
96,T,21031,52517,39.954234N,116.342910E,180,70,345,
97,T,21031,52518,39.954295N,116.342984E,176,57,345,
98,T,21031,52519,39.954298N,116.342984E,172,46,345,
99,T,21031,52520,39.954303N,116.342983E,168,38,345,
100,T,21031,52521,39.954388N,116.342935E,165,75,345,
101,T,21031,52522,39.954408N,116.342915E,161,68,345,
102,T,21031,52523,39.954438N,116.342886E,157,87,345,
103,T,21031,52524,39.954470N,116.342858E,154,117,341,
104,T,21031,52525,39.954500N,116.342840E,151,108,341,
105,T,21031,52526,39.954524N,116.342816E,147,102,340,
106,T,21031,52527,39.954545N,116.342786E,144,88,340,
107,T,21031,52528,39.954573N,116.342771E,142,114,344,
108,T,21031,52529,39.954611N,116.342760E,140,154,351,
109,T,21031,52530,39.954653N,116.342746E,138,153,354,
110,T,21031,52531,39.954683N,116.342731E,136,128,355,
111,T,21031,52532,39.954786N,116.342493E,135,80,355,
112,T,21031,52533,39.954823N,116.341856E,135,65,355,
113,T,21031,52534,39.954846N,116.341686E,134,74,355,
114,T,21031,52535,39.954849N,116.341680E,132,42,355,
115,T,21031,52536,39.954851N,116.341678E,131,0,355,
116,T,21031,52537,39.954851N,116.341676E,129,0,355,
117,T,21031,52538,39.954853N,116.341674E,129,0,355,
118,T,21031,52539,39.954854N,116.341673E,128,0,355,
119,T,21031,52540,39.954913N,116.341656E,126,0,355,
120,T,21031,52541,39.954970N,116.341646E,124,0,355,
121,T,21031,52542,39.954971N,116.341646E,122,0,355,
122,T,21031,52543,39.954974N,116.341645E,121,0,355,
123,T,21031,52544,39.954978N,116.341643E,119,0,355,
124,T,21031,52545,39.955043N,116.341616E,118,0,355,
125,T,21031,52546,39.955396N,116.341511E,115,79,355,
126,T,21031,52547,39.955438N,116.341506E,113,169,346,
127,T,21031,52548,39.955489N,116.341469E,111,213,343,
128,T,21031,52549,39.955544N,116.341435E,109,227,341,
129,T,21031,52550,39.955603N,116.341401E,107,240,342,
130,T,21031,52551,39.955668N,116.341375E,106,278,344,
131,T,21031,52552,39.955736N,116.341336E,104,265,345,
132,T,21031,52553,39.955801N,116.341301E,102,272,346,
133,T,21031,52554,39.955869N,116.341286E,101,295,349,
134,T,21031,52555,39.956056N,116.340800E,99,317,350,
135,T,21031,52556,39.956115N,116.340764E,96,291,350,
136,T,21031,52557,39.956184N,116.340718E,93,298,349,
137,T,21031,52558,39.956254N,116.340688E,90,286,347,
138,T,21031,52559,39.956323N,116.340656E,88,291,345,
139,T,21031,52600,39.956388N,116.340625E,85,269,343,
140,T,21031,52601,39.956443N,116.340591E,83,222,342,
141,C,21031,52603,39.956551N,116.340538E,80,263,347,
142,T,21031,52604,39.956606N,116.340523E,78,220,348,
143,T,21031,52605,39.956643N,116.340503E,76,167,346,
144,T,21031,52606,39.956738N,116.340401E,75,129,342,
145,T,21031,52607,39.956768N,116.340388E,73,120,338,
146,T,21031,52608,39.956814N,116.340331E,72,102,334,
147,T,21031,52609,39.956843N,116.340304E,71,91,334,
148,T,21031,52610,39.956863N,116.340280E,71,129,313,
149,T,21031,52611,39.956886N,116.340241E,70,128,313,
150,T,21031,52612,39.956909N,116.340203E,68,148,308,
151,T,21031,52613,39.956928N,116.340158E,67,135,300,
152,T,21031,52614,39.956939N,116.340098E,65,153,292,
153,T,21031,52615,39.956949N,116.340041E,64,185,286,
154,T,21031,52616,39.956956N,116.339975E,63,184,281,
155,T,21031,52617,39.956958N,116.339908E,62,187,276,
156,T,21031,52618,39.956959N,116.339838E,60,207,273,
157,T,21031,52619,39.956954N,116.339756E,59,255,270,
158,T,21031,52620,39.956928N,116.339646E,58,304,266,
159,T,21031,52621,39.956931N,116.339518E,58,324,264,
160,T,21031,52622,39.956916N,116.339406E,57,334,263,
161,T,21031,52623,39.956903N,116.339291E,56,347,262,
162,T,21031,52624,39.956885N,116.339180E,56,339,260,
163,T,21031,52625,39.956874N,116.339076E,55,314,261,
164,T,21031,52626,39.956868N,116.338978E,54,309,262,
165,T,21031,52627,39.956864N,116.338876E,53,325,263,
166,T,21031,52628,39.956866N,116.338771E,53,325,267,
167,T,21031,52629,39.956861N,116.338658E,52,336,268,
168,T,21031,52630,39.956829N,116.338531E,51,335,265,
169,T,21031,52631,39.956811N,116.338421E,51,310,263,
170,T,21031,52632,39.956806N,116.338318E,50,299,262,
171,T,21031,52633,39.956811N,116.338228E,49,265,262,
172,T,21031,52634,39.956831N,116.338143E,49,254,282,
173,T,21031,52635,39.956859N,116.338073E,48,223,287,
174,T,21031,52636,39.956896N,116.338011E,47,205,297,
175,T,21031,52637,39.956919N,116.337958E,47,197,301,
176,T,21031,52638,39.956939N,116.337896E,46,211,303,
177,T,21031,52641,39.957003N,116.337678E,44,238,289,
178,T,21031,52642,39.957014N,116.337605E,43,227,285,
179,T,21031,52643,39.957024N,116.337535E,42,226,282,
180,T,21031,52644,39.957039N,116.337470E,41,206,282,
181,T,21031,52645,39.957048N,116.337405E,41,202,282,
182,T,21031,52646,39.957053N,116.337340E,40,203,281,
183,T,21031,52647,39.957051N,116.337266E,40,221,275,
184,T,21031,52648,39.957049N,116.337193E,39,226,271,
185,T,21031,52649,39.957046N,116.337096E,38,267,268,
186,T,21031,52650,39.956838N,116.336881E,38,278,265,
187,T,21031,52651,39.956788N,116.336758E,38,279,264,
188,T,21031,52652,39.956751N,116.336626E,38,298,263,
189,T,21031,52653,39.956738N,116.336521E,39,293,262,
190,T,21031,52654,39.956713N,116.336413E,39,288,261,
191,T,21031,52655,39.956701N,116.336309E,40,275,264,
192,T,21031,52656,39.956691N,116.336216E,40,280,264,
193,T,21031,52657,39.956670N,116.336128E,40,231,264,
194,T,21031,52658,39.956636N,116.336031E,40,235,263,
195,T,21031,52659,39.956621N,116.335955E,41,207,262,
196,T,21031,52700,39.956619N,116.335893E,41,187,263,
197,T,21031,52701,39.956606N,116.335825E,41,187,265,
198,T,21031,52702,39.956593N,116.335758E,41,183,266,
199,T,21031,52703,39.956566N,116.335698E,41,151,263,
200,T,21031,52704,39.956538N,116.335641E,41,146,260,
201,T,21031,52705,39.956521N,116.335596E,41,134,258,
202,T,21031,52706,39.956506N,116.335551E,41,142,260,
203,T,21031,52707,39.956511N,116.335510E,41,151,262,
204,T,21031,52708,39.956524N,116.335466E,42,126,261,
205,T,21031,52709,39.956523N,116.335426E,42,118,262,
206,T,21031,52710,39.956520N,116.335389E,42,117,257,
207,T,21031,52711,39.956513N,116.335353E,42,118,254,
208,T,21031,52712,39.956506N,116.335323E,42,102,253,
209,T,21031,52713,39.956514N,116.335281E,42,102,253,
210,T,21031,52714,39.956518N,116.335251E,42,71,253,
211,T,21031,52715,39.956520N,116.335236E,42,62,253,
212,T,21031,52716,39.956520N,116.335235E,42,45,253,
213,T,21031,52717,39.956520N,116.335231E,42,0,253,
214,T,21031,52718,39.956520N,116.335230E,43,0,253,
215,T,21031,52719,39.956520N,116.335230E,43,0,253,
216,T,21031,52720,39.956520N,116.335225E,43,0,253,
217,T,21031,52721,39.956521N,116.335221E,43,0,253,
218,T,21031,52722,39.956523N,116.335216E,43,36,253,
219,T,21031,52723,39.956524N,116.335213E,43,36,253,
220,T,21031,52724,39.956526N,116.335209E,43,0,253,
221,T,21031,52725,39.956528N,116.335209E,43,0,253,
222,T,21031,52726,39.956528N,116.335209E,43,0,253,
223,T,21031,52727,39.956529N,116.335205E,43,0,253,
224,T,21031,52728,39.956531N,116.335199E,43,0,253,
225,T,21031,52729,39.956533N,116.335193E,43,45,253,
226,T,21031,52730,39.956546N,116.335109E,43,53,253,
227,T,21031,52731,39.956543N,116.335068E,43,86,253,
228,T,21031,52732,39.956538N,116.335030E,43,105,258,
229,T,21031,52733,39.956543N,116.334983E,44,136,261,
230,T,21031,52734,39.956563N,116.334934E,44,150,286,
231,T,21031,52735,39.956589N,116.334888E,45,161,295,
232,T,21031,52736,39.956618N,116.334824E,45,174,298,
233,T,21031,52737,39.956640N,116.334755E,45,186,300,
234,T,21031,52738,39.956660N,116.334700E,45,185,300,
235,T,21031,52739,39.956711N,116.334629E,46,210,299,
236,T,21031,52740,39.956708N,116.334526E,46,243,270,
237,T,21031,52741,39.956676N,116.334399E,46,289,267,
238,T,21031,52742,39.956708N,116.334234E,47,316,275,
239,T,21031,52743,39.956736N,116.334121E,48,318,278,
240,T,21031,52744,39.956768N,116.333981E,48,319,280,
241,T,21031,52745,39.956640N,116.333831E,49,310,274,
242,T,21031,52746,39.956643N,116.333733E,50,298,271,
243,T,21031,52747,39.956648N,116.333631E,51,308,271,
244,T,21031,52748,39.956663N,116.333520E,52,327,271,
245,T,21031,52749,39.956658N,116.333411E,52,316,271,
246,T,21031,52750,39.956683N,116.333308E,53,316,271,
247,T,21031,52751,39.956678N,116.333208E,53,282,271,
248,T,21031,52752,39.956679N,116.333116E,53,267,270,
249,T,21031,52753,39.956683N,116.333021E,53,271,270,
250,T,21031,52754,39.956691N,116.332921E,53,285,271,
251,T,21031,52755,39.956698N,116.332821E,53,296,272,
252,T,21031,52756,39.956708N,116.332716E,53,302,273,
253,T,21031,52757,39.956715N,116.332600E,53,325,273,
254,T,21031,52758,39.956720N,116.332479E,53,340,272,
255,T,21031,52759,39.956736N,116.332363E,53,340,274,
256,T,21031,52800,39.956750N,116.332245E,53,340,274,
257,T,21031,52801,39.956758N,116.332131E,53,335,274,
258,T,21031,52802,39.956765N,116.332020E,52,329,273,
259,T,21031,52803,39.956754N,116.331906E,52,328,270,
260,T,21031,52804,39.956753N,116.331803E,52,315,269,
